"radio_name","radio_url","radio_city","radio_country","radio_tags","mp3_bitrate","mp3_url","aac_bitrate","aac_url"
"100%NL","http://www.100p.nl/","Amsterdam","Netherlands","Dutch music",128,"http://www.100p.nl/media/audio/100pnl.pls",,
"101 Dalmatin FM","http://101fm.com.ua/","Cherkasy","Ukraine","CHR / Gold / AC",128,"http://stream.ck.ua:8000/101FM.m3u",,
"101-102 Touch FM","http://www.101touchfm.co.uk/","Tamworth","United Kingdom","Current/Classic Hits",64,"http://icy-e-03.sharp-stream.com/1016touchfm.mp3.m3u",,
"101.8 WCR FM","http://www.wcrfm.com/","Wolverhampton","United Kingdom","Community radio",128,"http://87.127.246.206:8000/listen.pls",,
"102 Spire FM","http://www.spirefm.co.uk/","Salisbury","United Kingdom","Current/Classic Hits",128,"http://str1.sad.ukrd.com/spire.m3u",,
"102 Touch FM","http://www.102touchfm.co.uk/","Stratford-upon-Avon","United Kingdom","Current/Classic Hits",64,"http://icy-e-03.sharp-stream.com/102touchfm.mp3.m3u",,
"102.1 Bay Radio","http://www.baywales.com/","Swansea","United Kingdom","Classic/current hits",128,"http://icy-e-03.sharp-stream.com/tcbay.mp3.m3u",,
"102.5 The Bridge","http://www.thebridgeradio.net/","Stourbridge","United Kingdom","Community radio",128,"http://shoutcast2.tidyhosts.com:9004/listen.pls",,
"102.6 Guldkanalen","http://www.guldkanalen.se/","Malmo","Sweden","Oldies/80s/90s",128,"http://www.guldkanalen.se/static/streamGK/128MP3.pls",96,"http://www.guldkanalen.se/static/streamGK/96AAC.pls"
"103 The Eye","http://www.103theeye.co.uk/","Melton Mowbray","United Kingdom","Community radio",128,"http://icecast.commedia.org.uk:8000/theeyefm.mp3.m3u",,
"103.7 UnserDing","http://www.unserding.de/","Saarbrücken","Germany","Youth programming",128,"http://streaming01.sr-online.de/unserding_2.m3u",,
"104,8 Sok FM","http://www.sokfm.gr","Evia/Sterea Ellada","Greece","Greek Pop",128,"http://78.46.66.215:8005/listen.pls",,
"104.6 RTL","http://104.6rtl.com/","Berlin","Germany","Hot Adult Contemporary",128,"http://play.104.6rtl.com/pls/rtl_air.pls",,
